Loan_ID,loan_status,Principal,terms,effective_date,due_date,paid_off_time,past_due_days,age,education,Gender
xqd20161487,COLLECTION_PAIDOFF,800,15,9/12/2016,9/26/2016,11/21/2016 11:36,56,46,High School or Below,male
xqd20161016,COLLECTION,1000,15,9/10/2016,10/9/2016,,60,26,High School or Below,male
xqd20160685,PAIDOFF,1000,30,9/10/2016,10/9/2016,10/3/2016 12:50,,37,High School or Below,female
xqd20160280,PAIDOFF,800,30,9/14/2016,10/13/2016,10/10/2016 10:25,,31,college,male
xqd20160376,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016 9:01,,30,High School or Below,male
xqd20161226,COLLECTION_PAIDOFF,1000,30,9/11/2016,10/10/2016,10/12/2016 16:22,2,32,Bechalor,male
xqd20161443,COLLECTION_PAIDOFF,1000,30,9/11/2016,10/10/2016,10/11/2016 11:48,1,24,High School or Below,male
xqd20160447,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/26/2016 9:00,,26,college,female
xqd20160511,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/22/2016 13:15,,27,High School or Below,male
xqd20160402,PAIDOFF,800,30,9/11/2016,10/10/2016,9/24/2016 13:27,,38,college,male
xqd20160930,COLLECTION,1000,15,9/10/2016,10/9/2016,,60,44,Bechalor,male
xqd20161117,COLLECTION,1000,15,9/11/2016,9/25/2016,,74,30,High School or Below,male
xqd20160955,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,37,High School or Below,male
xqd20160982,COLLECTION,800,15,9/11/2016,9/25/2016,,74,35,High School or Below,male
xqd20161267,COLLECTION_PAIDOFF,1000,30,9/12/2016,10/11/2016,10/14/2016 19:08,3,26,High School or Below,male
xqd20160679,PAIDOFF,1000,15,9/14/2016,9/28/2016,9/28/2016 9:00,,37,college,female
xqd20161430,COLLECTION_PAIDOFF,500,15,9/11/2016,10/10/2016,10/11/2016 17:22,1,37,Bechalor,male
xqd20160390,PAIDOFF,800,15,9/11/2016,9/25/2016,9/22/2016 21:45,,46,High School or Below,female
xqd20161204,COLLECTION_PAIDOFF,1000,15,9/12/2016,9/26/2016,9/28/2016 15:02,2,29,Bechalor,male
xqd20160908,COLLECTION,1000,15,9/9/2016,9/23/2016,,76,40,High School or Below,male
xqd20160945,COLLECTION,800,15,9/11/2016,9/25/2016,,74,38,Bechalor,male
xqd20160805,PAIDOFF,1000,15,9/13/2016,9/27/2016,9/25/2016 12:48,,20,college,male
xqd20160586,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/8/2016 17:19,,34,Bechalor,male
xqd20160850,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016 9:00,,35,Bechalor,female
xqd20160137,PAIDOFF,800,15,9/11/2016,9/25/2016,9/25/2016 13:00,,32,High School or Below,female
xqd20160088,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/17/2016 13:01,,27,college,female
xqd20161003,COLLECTION,1000,30,9/9/2016,10/8/2016,,61,33,High School or Below,male
xqd20161362,COLLECTION_PAIDOFF,1000,30,9/12/2016,10/11/2016,10/13/2016 12:02,2,38,High School or Below,male
xqd20160582,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/26/2016 4:41,,28,Bechalor,male
xqd20160405,PAIDOFF,1000,30,9/13/2016,10/12/2016,10/11/2016 0:29,,35,college,male
xqd20161190,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,32,High School or Below,male
xqd20160172,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/11/2016 16:00,,29,college,male
xqd20160336,PAIDOFF,800,30,9/12/2016,10/11/2016,10/11/2016 13:00,,29,Bechalor,male
xqd20160759,PAIDOFF,1000,30,9/14/2016,10/13/2016,9/18/2016 16:56,,28,college,female
xqd20160579,PAIDOFF,800,15,9/11/2016,9/25/2016,9/25/2016 14:36,,36,college,male
xqd20160968,COLLECTION,800,30,9/11/2016,10/10/2016,,59,28,Bechalor,male
xqd20160891,PAIDOFF,1000,30,9/14/2016,10/13/2016,10/13/2016 9:00,,30,college,female
xqd20161478,COLLECTION_PAIDOFF,1000,30,9/12/2016,10/11/2016,10/20/2016 17:38,9,27,college,male
xqd20160119,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/8/2016 6:56,,35,Bechalor,male
xqd20160707,PAIDOFF,1000,30,9/14/2016,10/13/2016,10/13/2016 9:00,,31,High School or Below,male
xqd20160153,PAIDOFF,500,15,9/12/2016,9/26/2016,9/13/2016 20:17,,23,college,female
xqd20160502,PAIDOFF,1000,15,9/13/2016,9/27/2016,9/25/2016 12:48,,26,High School or Below,female
xqd20160526,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/7/2016 21:48,,26,High School or Below,male
xqd20160713,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/19/2016 21:07,,27,college,male
xqd20160112,PAIDOFF,1000,30,9/11/2016,11/9/2016,11/9/2016 9:00,,27,college,female
xqd20161446,COLLECTION_PAIDOFF,1000,15,9/11/2016,9/25/2016,9/27/2016 17:24,2,29,college,male
xqd20160067,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/8/2016 12:04,,28,Bechalor,male
xqd20161051,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,26,High School or Below,male
xqd20160965,COLLECTION,800,30,9/11/2016,10/10/2016,,59,22,college,male
xqd20160737,PAIDOFF,800,15,9/12/2016,9/26/2016,9/26/2016 9:00,,32,High School or Below,female
xqd20161344,COLLECTION_PAIDOFF,1000,15,9/10/2016,10/9/2016,10/10/2016 15:18,1,26,college,female
xqd20160784,PAIDOFF,800,15,9/12/2016,10/26/2016,10/26/2016 9:00,,30,High School or Below,male
xqd20160234,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/11/2016 16:01,,36,High School or Below,male
xqd20160223,PAIDOFF,1000,30,9/12/2016,11/10/2016,11/10/2016 13:00,,29,college,male
xqd20160460,PAIDOFF,1000,7,9/12/2016,9/25/2016,9/25/2016 9:01,,27,High School or Below,male
xqd20161158,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,26,Bechalor,male
xqd20160558,PAIDOFF,1000,7,9/13/2016,9/19/2016,9/17/2016 20:51,,37,college,female
xqd20160875,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016 23:00,,30,Bechalor,male
xqd20160361,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016 19:21,,34,Bechalor,male
xqd20161489,COLLECTION_PAIDOFF,1000,15,9/12/2016,9/26/2016,10/9/2016 19:30,13,45,college,male
xqd20160485,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/9/2016 20:28,,27,High School or Below,male
xqd20161246,COLLECTION_PAIDOFF,1000,30,9/11/2016,10/10/2016,10/24/2016 16:20,14,29,college,male
xqd20160298,PAIDOFF,1000,30,9/14/2016,10/13/2016,10/13/2016 9:00,,29,High School or Below,male
xqd20160849,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016 21:49,,35,High School or Below,male
xqd20160983,COLLECTION,1000,15,9/11/2016,9/25/2016,,74,30,Bechalor,male
xqd20160175,PAIDOFF,800,15,9/12/2016,9/26/2016,9/22/2016 10:30,,39,High School or Below,male
xqd20161205,COLLECTION_PAIDOFF,800,30,9/12/2016,10/11/2016,10/18/2016 19:08,7,33,High School or Below,male
xqd20160556,PAIDOFF,1000,15,9/14/2016,9/28/2016,9/28/2016 9:00,,31,college,male
xqd20161378,COLLECTION_PAIDOFF,1000,30,9/11/2016,11/9/2016,11/14/2016 13:15,5,27,college,male
xqd20161164,COLLECTION,1000,15,9/11/2016,9/25/2016,,74,26,college,male
xqd20161474,COLLECTION_PAIDOFF,1000,30,9/12/2016,10/11/2016,10/14/2016 19:02,3,30,High School or Below,male
xqd20160194,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/11/2016 9:00,,27,High School or Below,female
xqd20161223,COLLECTION_PAIDOFF,800,15,9/12/2016,9/26/2016,9/28/2016 13:36,2,23,High School or Below,male
xqd20161159,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,32,college,male
xqd20160284,PAIDOFF,1000,30,9/14/2016,10/13/2016,10/12/2016 6:25,,30,High School or Below,male
xqd20160070,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/24/2016 13:27,,43,Bechalor,male
xqd20160996,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,25,High School or Below,male
xqd20161371,COLLECTION_PAIDOFF,1000,15,9/11/2016,9/25/2016,9/27/2016 17:14,2,32,High School or Below,male
xqd20160291,PAIDOFF,1000,15,9/14/2016,9/28/2016,9/22/2016 9:28,,30,college,female
xqd20160612,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/26/2016 13:00,,39,High School or Below,male
xqd20161258,COLLECTION_PAIDOFF,1000,30,9/11/2016,10/10/2016,10/11/2016 16:44,1,24,college,male
xqd20160062,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/24/2016 13:42,,37,college,male
xqd20161272,COLLECTION_PAIDOFF,1000,15,9/11/2016,9/25/2016,9/28/2016 11:38,3,27,Bechalor,male
xqd20161406,COLLECTION_PAIDOFF,1000,30,9/10/2016,10/9/2016,10/21/2016 14:00,12,27,college,male
xqd20160101,PAIDOFF,1000,7,9/11/2016,9/17/2016,9/17/2016 9:00,,29,High School or Below,male
xqd20160236,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/9/2016 21:28,,30,High School or Below,male
xqd20160916,COLLECTION,1000,30,9/12/2016,10/11/2016,,58,26,High School or Below,male
xqd20160807,PAIDOFF,1000,30,9/14/2016,10/13/2016,10/13/2016 9:00,,26,college,male
xqd20160065,PAIDOFF,800,15,9/11/2016,9/25/2016,9/25/2016 14:38,,24,High School or Below,male
xqd20160198,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/23/2016 10:32,,40,college,male
xqd20160549,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/29/2016 18:57,,35,High School or Below,male
xqd20160500,PAIDOFF,1000,15,9/10/2016,9/24/2016,9/23/2016 18:49,,29,college,male
xqd20160388,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016 13:00,,27,college,female
xqd20160090,PAIDOFF,800,15,9/11/2016,9/25/2016,9/24/2016 20:33,,46,High School or Below,female
xqd20161312,COLLECTION_PAIDOFF,1000,30,9/12/2016,10/11/2016,10/12/2016 12:54,1,21,college,male
xqd20160314,PAIDOFF,900,15,9/13/2016,9/27/2016,9/25/2016 10:37,,26,college,female
xqd20161009,COLLECTION,1000,30,9/10/2016,10/9/2016,,60,33,college,male
xqd20160240,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/14/2016 23:02,,36,High School or Below,male
xqd20160603,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016 13:01,,33,Bechalor,female
xqd20160263,PAIDOFF,800,30,9/13/2016,10/12/2016,10/11/2016 0:29,,23,college,female
xqd20160742,PAIDOFF,800,30,9/8/2016,10/7/2016,9/25/2016 16:58,,35,college,male
xqd20160375,PAIDOFF,1000,30,9/9/2016,10/8/2016,9/23/2016 21:36,,25,college,male
xqd20160269,PAIDOFF,1000,30,9/14/2016,10/13/2016,10/13/2016 9:00,,42,High School or Below,male
xqd20161460,COLLECTION_PAIDOFF,800,15,9/12/2016,9/26/2016,9/28/2016 13:36,2,33,college,male
xqd20161244,COLLECTION_PAIDOFF,1000,30,9/11/2016,10/10/2016,10/11/2016 11:48,1,26,college,female
xqd20160736,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/20/2016 15:00,,30,High School or Below,male
xqd20160381,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/26/2016 23:00,,28,High School or Below,male
xqd20160827,PAIDOFF,1000,30,9/10/2016,10/9/2016,10/9/2016 9:00,,25,High School or Below,male
xqd20160867,PAIDOFF,800,15,9/12/2016,9/26/2016,9/26/2016 13:00,,31,Bechalor,female
xqd20161359,COLLECTION_PAIDOFF,1000,15,9/11/2016,10/10/2016,10/11/2016 17:22,1,34,college,male
xqd20161043,COLLECTION,1000,15,9/11/2016,9/25/2016,,74,50,Master or Above,male
xqd20160127,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016 9:00,,28,High School or Below,male
xqd20160073,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016 16:00,,33,Bechalor,female
xqd20161235,COLLECTION_PAIDOFF,1000,15,9/12/2016,9/26/2016,9/27/2016 11:40,1,34,Bechalor,male
xqd20160767,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/21/2016 15:33,,28,college,male
xqd20160739,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/17/2016 13:01,,47,High School or Below,male
xqd20161149,COLLECTION,1000,30,9/10/2016,10/9/2016,,60,32,High School or Below,male
xqd20160321,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016 12:24,,26,college,male
xqd20161424,COLLECTION_PAIDOFF,1000,15,9/11/2016,10/10/2016,10/12/2016 11:17,2,24,college,male
xqd20161241,COLLECTION_PAIDOFF,1000,15,9/12/2016,9/26/2016,9/29/2016 12:45,3,30,college,male
xqd20160180,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/10/2016 8:04,,46,college,male
xqd20160947,COLLECTION,1000,30,9/10/2016,10/9/2016,,60,31,High School or Below,male
xqd20161287,COLLECTION_PAIDOFF,800,30,9/12/2016,11/10/2016,11/11/2016 17:17,1,46,High School or Below,male
xqd20160148,PAIDOFF,300,7,9/12/2016,9/18/2016,9/18/2016 9:00,,37,Master or Above,male
xqd20161170,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,37,High School or Below,male
xqd20161132,COLLECTION,800,15,9/11/2016,9/25/2016,,74,27,college,male
xqd20160451,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/7/2016 16:45,,29,college,male
xqd20160195,PAIDOFF,800,15,9/12/2016,9/26/2016,9/24/2016 16:15,,21,college,male
xqd20160339,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/21/2016 15:33,,24,college,male
xqd20160528,PAIDOFF,800,30,9/12/2016,10/11/2016,10/11/2016 9:00,,37,Bechalor,male
xqd20160525,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/24/2016 10:14,,33,Bechalor,male
xqd20160957,COLLECTION,1000,30,9/12/2016,10/11/2016,,58,45,High School or Below,male
xqd20160184,PAIDOFF,800,15,9/12/2016,9/26/2016,9/25/2016 8:39,,30,High School or Below,male
xqd20160794,PAIDOFF,1000,15,9/13/2016,9/27/2016,9/27/2016 13:00,,27,High School or Below,female
xqd20160892,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/22/2016 20:51,,41,High School or Below,male
xqd20161055,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,37,High School or Below,male
xqd20161396,COLLECTION_PAIDOFF,1000,30,9/12/2016,10/11/2016,10/30/2016 14:19,19,28,High School or Below,male
xqd20160449,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/9/2016 17:33,,26,Bechalor,male
xqd20161074,COLLECTION,1000,15,9/11/2016,9/25/2016,,74,40,High School or Below,male
xqd20160998,COLLECTION,800,30,9/11/2016,10/10/2016,,59,39,college,male
xqd20160738,PAIDOFF,1000,30,9/9/2016,10/8/2016,9/23/2016 21:36,,22,college,male
xqd20160662,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016 9:00,,37,college,male
xqd20160921,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,25,college,male
xqd20160619,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/25/2016 13:29,,32,High School or Below,male
xqd20161023,COLLECTION,1000,30,9/10/2016,10/9/2016,,60,37,college,male
xqd20160025,PAIDOFF,1000,30,9/10/2016,10/9/2016,10/3/2016 12:50,,26,college,male
xqd20160131,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/22/2016 15:44,,26,High School or Below,male
xqd20161188,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,36,High School or Below,male
xqd20160741,PAIDOFF,1000,30,9/14/2016,10/13/2016,10/13/2016 13:00,,28,High School or Below,male
xqd20161234,COLLECTION_PAIDOFF,1000,15,9/12/2016,9/26/2016,10/10/2016 20:02,14,29,college,male
xqd20160814,PAIDOFF,1000,15,9/12/2016,10/26/2016,10/26/2016 9:00,,27,High School or Below,male
xqd20160498,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016 13:01,,40,college,male
xqd20160536,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/24/2016 20:47,,30,High School or Below,male
xqd20160593,PAIDOFF,1000,7,9/10/2016,9/16/2016,9/13/2016 21:57,,29,college,male
xqd20160378,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/22/2016 15:44,,35,college,male
xqd20160863,PAIDOFF,800,15,9/10/2016,9/24/2016,9/23/2016 18:49,,23,college,female
xqd20161357,COLLECTION_PAIDOFF,1000,15,9/12/2016,9/26/2016,9/29/2016 12:45,3,25,college,male
xqd20160161,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/22/2016 10:49,,24,High School or Below,male
xqd20160681,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/11/2016 13:00,,28,High School or Below,male
xqd20160256,PAIDOFF,1000,30,9/13/2016,10/12/2016,10/8/2016 15:51,,31,college,male
xqd20160020,PAIDOFF,800,30,9/10/2016,10/9/2016,9/23/2016 7:42,,26,college,male
xqd20161121,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,25,college,male
xqd20160949,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,32,High School or Below,male
xqd20160590,PAIDOFF,800,30,9/11/2016,10/10/2016,10/10/2016 13:00,,28,High School or Below,male
xqd20161326,COLLECTION_PAIDOFF,1000,30,9/11/2016,10/10/2016,11/4/2016 11:07,25,32,Bechalor,male
xqd20161044,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,23,High School or Below,male
xqd20161028,COLLECTION,1000,30,9/11/2016,11/9/2016,,29,27,college,male
xqd20160318,PAIDOFF,1000,15,9/12/2016,10/26/2016,10/26/2016 9:00,,32,High School or Below,male
